id,Item name*,Category,Current stock,Selling price,Sales tax included,Purchase price,Purchase tax included,HSN,GST tax rate (%),MRP
a943023c-dd1e-4541-a8c0-f4cb83feb68f,K2 Phenyle 500ml,,3,95,With tax,65,With tax,,0,100
dcda655b-3415-4603-a0e4-ad4c5833d384,Kabuli Chana Small 100.00,,15,100,Without tax,78,Without tax,,0,100
1c74a597-87f0-4019-9417-4c3bbdb6d5c9,Kagji Badam Gauri Nuts 250g 330.00,,4,200,With tax,135,With tax,,0,330
5543e6a6-7991-4e79-9966-76a5380da51d,Kagji Badam Giri 10.00,,10,10,With tax,6.5,With tax,,0,10
6836044a-ecfe-4e7a-8379-99f1850ca209,Kagji Badam Giri Loose 640.00,,12,640,Without tax,550,Without tax,,0,640
a4629379-2e45-4336-b9f8-66f126ac4118,Kala Namak 500g 20.00,,100,15,Without tax,7,Without tax,,0,20
b6b4fb58-229a-4dfa-a470-a10443c88d97,Kala Namak Gota 60.00,,5,60,With tax,30,With tax,,0,60
2c8828a4-c548-4887-9435-470a41e7a9d9,Kala Namak Keshri 100g 12.00,,58,10,With tax,4,With tax,,0,12
d038a1b7-024b-4c80-a14c-eb5b7c7ca1fa,Kala Til Loose 240.00,,5,240,With tax,190,With tax,,0,240
3476c17e-3453-4f7a-a1ef-ebc38a0f7c1f,Kamasutra KS Deo 150ml 210.00,,6,190,With tax,120,With tax,,0,210
bb9809c9-ed9a-49e6-9ea2-effb2a6a37e0,Kamasutra KS Deo 250ml 299.00,,8,280,Without tax,150.75,Without tax,,0,299
13a5d9aa-0995-4f98-863b-b7c144b058ed,Kamasutra Pocket Deo (59.00),,6,55,Without tax,47.79,Without tax,,0,59
a60bc5a9-0f34-472a-910c-71c137c6a9ae,Kamsutra KS Pocket Deo 59.00,,6,55,With tax,48,With tax,,0,59
86e2420a-ad8f-4339-bbc8-f7b8a5c779d9,Kapoor Jar 50g,,20,75,Without tax,50,Without tax,,0,80
e4911139-d19c-43bd-8127-b3cd65eb3a7b,Kashmiri Rajma Loose 140.00,,5,140,With tax,120,With tax,,0,140
77d50670-4fbf-45e9-87b9-3d341405c127,Katarni Chura 80.00,,40,80,With tax,42.5,With tax,,0,80
e52a31c3-5a74-47ae-a047-a7e39c74bb34,Kaveri Mehandi Cone 10.00,,12,10,With tax,5,With tax,,0,10
2142c769-7d8d-4a28-badb-95a591842a4f,Kazoo 10.00,,20,10,With tax,7,With tax,,0,10
387d6b00-6c6f-4da8-b2a0-c5584497d68d,Kazoo 250g 270.00,,48,270,Without tax,212.5,Without tax,,0,270
256b476c-9d91-418c-9709-8b05d41856b0,Kazoo Loose 800.00,,5,800,With tax,703.5,With tax,,0,800
